"ID","Name","Species","GeneID","Family","Evidence"
"T035712_2.00","Twist1","Mus_musculus","ENSMUSG00000035799","bHLH","D"
"T035663_2.00","Twist2","Mus_musculus","ENSMUSG00000007805","bHLH","D"
"T035690_2.00","Usf1","Mus_musculus","ENSMUSG00000026641","bHLH","D"
"T035747_2.00","Usf2","Mus_musculus","ENSMUSG00000058239","bHLH","D"
"T060461_2.00","Atf1","Mus_musculus","ENSMUSG00000023027","bZIP","D"
"T060469_2.00","Atf2","Mus_musculus","ENSMUSG00000027104","bZIP","D"
"T060466_2.00","Atf3","Mus_musculus","ENSMUSG00000026628","bZIP","D"
"T060486_2.00","Atf4","Mus_musculus","ENSMUSG00000042406","bZIP","D"
"T060507_2.00","Atf7","Mus_musculus","ENSMUSG00000099083","bZIP","D"
"T060464_2.00","Bach1","Mus_musculus","ENSMUSG00000025612","bZIP","D"
"T060485_2.00","Bach2","Mus_musculus","ENSMUSG00000040270","bZIP","D"
"T060477_2.00","Batf","Mus_musculus","ENSMUSG00000034266","bZIP","D"
"T060467_2.00","Batf3","Mus_musculus","ENSMUSG00000026630","bZIP","D"
"T060479_2.00","Cebpa","Mus_musculus","ENSMUSG00000034957","bZIP","D"
"T060498_2.00","Cebpb","Mus_musculus","ENSMUSG00000056501","bZIP","D"
"T056962_2.00","Cebpd","Mus_musculus","BAE29047.1","bZIP","D"
"T060492_2.00","Cebpe","Mus_musculus","ENSMUSG00000052435","bZIP","D"
"T060497_2.00","Cebpg","Mus_musculus","ENSMUSG00000056216","bZIP","D"
"T060465_2.00","Creb1","Mus_musculus","ENSMUSG00000025958","bZIP","D"
"T060472_2.00","Creb3","Mus_musculus","ENSMUSG00000028466","bZIP","D"
"T060483_2.00","Creb3l2","Mus_musculus","ENSMUSG00000038648","bZIP","D"
"T060495_2.00","Creb5","Mus_musculus","ENSMUSG00000053007","bZIP","D"
"T060490_2.00","Crebzf","Mus_musculus","ENSMUSG00000051451","bZIP","D"
"T060502_2.00","Crem","Mus_musculus","ENSMUSG00000063889","bZIP","D"
"T060501_2.00","Dbp","Mus_musculus","ENSMUSG00000059824","bZIP","D"
"T060463_2.00","Ddit3","Mus_musculus","ENSMUSG00000025408","bZIP","D"
"T060459_2.00","Fos","Mus_musculus","ENSMUSG00000021250","bZIP","D"
"T060453_2.00","Fosb","Mus_musculus","ENSMUSG00000003545","bZIP","D"
"T060462_2.00","Fosl1","Mus_musculus","ENSMUSG00000024912","bZIP","D"
"T060473_2.00","Fosl2","Mus_musculus","ENSMUSG00000029135","bZIP","D"
"T060454_2.00","Hlf","Mus_musculus","ENSMUSG00000003949","bZIP","D"
"T060478_2.00","Jdp2","Mus_musculus","ENSMUSG00000034271","bZIP","D"
"T060493_2.00","Jun","Mus_musculus","ENSMUSG00000052684","bZIP","D"
"T060494_2.00","Junb","Mus_musculus","ENSMUSG00000052837","bZIP","D"
"T060504_2.00","Jund","Mus_musculus","ENSMUSG00000071076","bZIP","D"
"T060496_2.00","Maf","Mus_musculus","ENSMUSG00000055435","bZIP","D"
"T060488_2.00","Mafa","Mus_musculus","ENSMUSG00000047591","bZIP","D"
"T060506_2.00","Mafb","Mus_musculus","ENSMUSG00000074622","bZIP","D"
"T060487_2.00","Maff","Mus_musculus","ENSMUSG00000042622","bZIP","D"
"T060491_2.00","Mafg","Mus_musculus","ENSMUSG00000051510","bZIP","D"
"T060457_2.00","Mafk","Mus_musculus","ENSMUSG00000018143","bZIP","D"
"T060500_2.00","Nfe2","Mus_musculus","ENSMUSG00000058794","bZIP","D"
"T060482_2.00","Nfe2l1","Mus_musculus","ENSMUSG00000038615","bZIP","D"
"T060456_2.00","Nfe2l2","Mus_musculus","ENSMUSG00000015839","bZIP","D"
"T060474_2.00","Nfe2l3","Mus_musculus","ENSMUSG00000029832","bZIP","D"
"T060499_2.00","Nfil3","Mus_musculus","ENSMUSG00000056749","bZIP","D"
"T060460_2.00","Tef","Mus_musculus","ENSMUSG00000022389","bZIP","D"
"T060458_2.00","Xbp1","Mus_musculus","ENSMUSG00000020484","bZIP","D"
"T069477_2.00","XP_002726925.1","Mus_musculus","XP_002726925.1","bZIP","D"
"T101031_2.00","Bcl6","Mus_musculus","ENSMUSG00000022508","C2H2 ZF","D"
"T100968_2.00","Bcl6b","Mus_musculus","ENSMUSG00000000317","C2H2 ZF","D"
"T101052_2.00","Bnc1","Mus_musculus","ENSMUSG00000025105","C2H2 ZF","D"
"T100985_2.00","Ctcf","Mus_musculus","ENSMUSG00000005698","C2H2 ZF","D"
"T101440_2.00","Ctcfl","Mus_musculus","ENSMUSG00000070495","C2H2 ZF","D"
"T101184_2.00","Dnajc21","Mus_musculus","ENSMUSG00000044224","C2H2 ZF","D"
"T101043_2.00","E4f1","Mus_musculus","ENSMUSG00000024137","C2H2 ZF","D"
"T085689_2.00","EDL38120.1","Mus_musculus","EDL38120.1","C2H2 ZF","D"
"T101147_2.00","Egr1","Mus_musculus","ENSMUSG00000038418","C2H2 ZF","D"
"T101144_2.00","Egr2","Mus_musculus","ENSMUSG00000037868","C2H2 ZF","D"
"T101113_2.00","Egr3","Mus_musculus","ENSMUSG00000033730","C2H2 ZF","D"
"T101083_2.00","Gfi1","Mus_musculus","ENSMUSG00000029275","C2H2 ZF","D"
"T101063_2.00","Gfi1b","Mus_musculus","ENSMUSG00000026815","C2H2 ZF","D"
"T101054_2.00","Gli1","Mus_musculus","ENSMUSG00000025407","C2H2 ZF","D"
"T101235_2.00","Gli2","Mus_musculus","ENSMUSG00000048402","C2H2 ZF","D"
"T101021_2.00","Gli3","Mus_musculus","ENSMUSG00000021318","C2H2 ZF","D"
"T100997_2.00","Glis2","Mus_musculus","ENSMUSG00000014303","C2H2 ZF","D"
"T101000_2.00","Gtf3a","Mus_musculus","ENSMUSG00000016503","C2H2 ZF","D"
"T101179_2.00","Hic1","Mus_musculus","ENSMUSG00000043099","C2H2 ZF","D"
"T101108_2.00","Hinfp","Mus_musculus","ENSMUSG00000032119","C2H2 ZF","D"
"T101005_2.00","Ikzf1","Mus_musculus","ENSMUSG00000018654","C2H2 ZF","D"
"T101160_2.00","Ikzf5","Mus_musculus","ENSMUSG00000040167","C2H2 ZF","D"
"T101423_2.00","Insm1","Mus_musculus","ENSMUSG00000068154","C2H2 ZF","D"
"T101294_2.00","Klf1","Mus_musculus","ENSMUSG00000054191","C2H2 ZF","D"
"T101456_2.00","Klf12","Mus_musculus","ENSMUSG00000072294","C2H2 ZF","D"
"T101089_2.00","Klf15","Mus_musculus","ENSMUSG00000030087","C2H2 ZF","D"
"T101126_2.00","Klf16","Mus_musculus","ENSMUSG00000035397","C2H2 ZF","D"
"T101081_2.00","Klf3","Mus_musculus","ENSMUSG00000029178","C2H2 ZF","D"
"T100977_2.00","Klf4","Mus_musculus","ENSMUSG00000003032","C2H2 ZF","D"
"T100982_2.00","Klf5","Mus_musculus","ENSMUSG00000005148","C2H2 ZF","D"
"T100966_2.00","Klf6","Mus_musculus","ENSMUSG00000000078","C2H2 ZF","D"
"T101059_2.00","Klf7","Mus_musculus","ENSMUSG00000025959","C2H2 ZF","D"
"T101167_2.00","Klf8","Mus_musculus","ENSMUSG00000041649","C2H2 ZF","D"
"T101114_2.00","Klf9","Mus_musculus","ENSMUSG00000033863","C2H2 ZF","D"
"T101100_2.00","Maz","Mus_musculus","ENSMUSG00000030678","C2H2 ZF","D"
"T101070_2.00","Mecom","Mus_musculus","ENSMUSG00000027684","C2H2 ZF","D"
"T101078_2.00","Mtf1","Mus_musculus","ENSMUSG00000028890","C2H2 ZF","D"
"T101092_2.00","Mzf1","Mus_musculus","ENSMUSG00000030380","C2H2 ZF","D"
"T101234_2.00","Osr1","Mus_musculus","ENSMUSG00000048387","C2H2 ZF","D"
"T101029_2.00","Osr2","Mus_musculus","ENSMUSG00000022330","C2H2 ZF","D"
"T101051_2.00","Ovol1","Mus_musculus","ENSMUSG00000024922","C2H2 ZF","D"
"T101139_2.00","Ovol2","Mus_musculus","ENSMUSG00000037279","C2H2 ZF","D"
"T100973_2.00","Peg3","Mus_musculus","ENSMUSG00000002265","C2H2 ZF","D"
"T101009_2.00","Plagl1","Mus_musculus","ENSMUSG00000019817","C2H2 ZF","D"
"T101275_2.00","Plagl2","Mus_musculus","ENSMUSG00000051413","C2H2 ZF","D"
"T101145_2.00","Prdm1","Mus_musculus","ENSMUSG00000038151","C2H2 ZF","D"
"T101172_2.00","Prdm14","Mus_musculus","ENSMUSG00000042414","C2H2 ZF","D"
"T101154_2.00","Prdm16","Mus_musculus","ENSMUSG00000039410","C2H2 ZF","D"
"T101088_2.00","Prdm5","Mus_musculus","ENSMUSG00000029913","C2H2 ZF","D"
"T101279_2.00","Prdm9","Mus_musculus","ENSMUSG00000051977","C2H2 ZF","D"
"T127815_2.00","Q8K439_MOUSE","Mus_musculus","Q8K439_MOUSE","C2H2 ZF","D"
"T101082_2.00","Rest","Mus_musculus","ENSMUSG00000029249","C2H2 ZF","D"
"T101105_2.00","Sall1","Mus_musculus","ENSMUSG00000031665","C2H2 ZF","D"
"T101066_2.00","Sall4","Mus_musculus","ENSMUSG00000027547","C2H2 ZF","D"
"T101176_2.00","Snai1","Mus_musculus","ENSMUSG00000042821","C2H2 ZF","D"
"T101035_2.00","Snai2","Mus_musculus","ENSMUSG00000022676","C2H2 ZF","D"
"T100972_2.00","Sp1","Mus_musculus","ENSMUSG00000001280","C2H2 ZF","D"
"T101006_2.00","Sp2","Mus_musculus","ENSMUSG00000018678","C2H2 ZF","D"
"T101064_2.00","Sp3","Mus_musculus","ENSMUSG00000027109","C2H2 ZF","D"
"T101053_2.00","Sp4","Mus_musculus","ENSMUSG00000025323","C2H2 ZF","D"
"T101496_2.00","Sp5","Mus_musculus","ENSMUSG00000075304","C2H2 ZF","D"
"T101360_2.00","Sp7","Mus_musculus","ENSMUSG00000060284","C2H2 ZF","D"
"T100999_2.00","Wt1","Mus_musculus","ENSMUSG00000016458","C2H2 ZF","D"
"T101020_2.00","Yy1","Mus_musculus","ENSMUSG00000021264","C2H2 ZF","D"
"T101111_2.00","Zbtb1","Mus_musculus","ENSMUSG00000033454","C2H2 ZF","D"
"T101256_2.00","Zbtb12","Mus_musculus","ENSMUSG00000049823","C2H2 ZF","D"
"T101252_2.00","Zbtb14","Mus_musculus","ENSMUSG00000049672","C2H2 ZF","D"
"T100986_2.00","Zbtb17","Mus_musculus","ENSMUSG00000006215","C2H2 ZF","D"
"T101455_2.00","Zbtb3","Mus_musculus","ENSMUSG00000071661","C2H2 ZF","D"
"T101230_2.00","Zbtb33","Mus_musculus","ENSMUSG00000048047","C2H2 ZF","D"
"T101125_2.00","Zbtb7a","Mus_musculus","ENSMUSG00000035011","C2H2 ZF","D"
"T101071_2.00","Zbtb7b","Mus_musculus","ENSMUSG00000028042","C2H2 ZF","D"
"T101318_2.00","Zfp1","Mus_musculus","ENSMUSG00000055835","C2H2 ZF","D"
"T101336_2.00","Zfp105","Mus_musculus","ENSMUSG00000057895","C2H2 ZF","D"
"T101364_2.00","Zfp128","Mus_musculus","ENSMUSG00000060397","C2H2 ZF","D"
"T101369_2.00","Zfp143","Mus_musculus","ENSMUSG00000061079","C2H2 ZF","D"
"T101301_2.00","Zfp182","Mus_musculus","ENSMUSG00000054737","C2H2 ZF","D"
"T101057_2.00","Zfp202","Mus_musculus","ENSMUSG00000025602","C2H2 ZF","D"
"T101033_2.00","Zfp263","Mus_musculus","ENSMUSG00000022529","C2H2 ZF","D"
"T101166_2.00","Zfp281","Mus_musculus","ENSMUSG00000041483","C2H2 ZF","D"
"T101183_2.00","Zfp3","Mus_musculus","ENSMUSG00000043602","C2H2 ZF","D"
"T101102_2.00","Zfp300","Mus_musculus","ENSMUSG00000031079","C2H2 ZF","D"
"T101207_2.00","Zfp322a","Mus_musculus","ENSMUSG00000046351","C2H2 ZF","D"
"T101157_2.00","Zfp335","Mus_musculus","ENSMUSG00000039834","C2H2 ZF","D"
"T101174_2.00","Zfp410","Mus_musculus","ENSMUSG00000042472","C2H2 ZF","D"
"T101270_2.00","Zfp42","Mus_musculus","ENSMUSG00000051176","C2H2 ZF","D"
"T101424_2.00","Zfp467","Mus_musculus","ENSMUSG00000068551","C2H2 ZF","D"
"T101130_2.00","Zfp57","Mus_musculus","ENSMUSG00000036036","C2H2 ZF","D"
"T101353_2.00","Zfp637","Mus_musculus","ENSMUSG00000059689","C2H2 ZF","D"
"T101498_2.00","Zfp652","Mus_musculus","ENSMUSG00000075595","C2H2 ZF","D"
"T101545_2.00","Zfp664","Mus_musculus","ENSMUSG00000079215","C2H2 ZF","D"
"T101197_2.00","Zfp691","Mus_musculus","ENSMUSG00000045268","C2H2 ZF","D"
"T101258_2.00","Zfp697","Mus_musculus","ENSMUSG00000050064","C2H2 ZF","D"
"T101056_2.00","Zfp711","Mus_musculus","ENSMUSG00000025529","C2H2 ZF","D"
"T101215_2.00","Zfp740","Mus_musculus","ENSMUSG00000046897","C2H2 ZF","D"
"T101404_2.00","Zfp932","Mus_musculus","ENSMUSG00000066613","C2H2 ZF","D"
"T101547_2.00","Zfx","Mus_musculus","ENSMUSG00000079509","C2H2 ZF","D"
"T101109_2.00","Zic1","Mus_musculus","ENSMUSG00000032368","C2H2 ZF","D"
"T101372_2.00","Zic2","Mus_musculus","ENSMUSG00000061524","C2H2 ZF","D"
"T101414_2.00","Zic3","Mus_musculus","ENSMUSG00000067860","C2H2 ZF","D"
"T101168_2.00","Zic5","Mus_musculus","ENSMUSG00000041703","C2H2 ZF","D"
"T101087_2.00","Zkscan1","Mus_musculus","ENSMUSG00000029729","C2H2 ZF","D"
"T101319_2.00","Zkscan5","Mus_musculus","ENSMUSG00000055991","C2H2 ZF","D"
"T101042_2.00","Zscan10","Mus_musculus","ENSMUSG00000023902","C2H2 ZF","D"
"T101027_2.00","Zscan26","Mus_musculus","ENSMUSG00000022228","C2H2 ZF","D"
"T101295_2.00","Zscan4c","Mus_musculus","ENSMUSG00000054272","C2H2 ZF","D"
"T075918_2.00","Zeb1","Mus_musculus","ENSMUSG00000024238","C2H2 ZF,Homeodomain","D"
"T076679_2.00","Zscan20","Mus_musculus","ENSMUSG00000061894","C2H2 ZF,Myb/SANT","D"
"T159933_2.00","Nfya","Mus_musculus","ENSMUSG00000023994","CBF/NF-Y","D"
"T166091_2.00","Rbpj","Mus_musculus","ENSMUSG00000039191","CSL","D"
"T166090_2.00","Rbpjl","Mus_musculus","ENSMUSG00000017007","CSL","D"
"T167155_2.00","Cux1","Mus_musculus","ENSMUSG00000029705","CUT,Homeodomain","D"
"T167157_2.00","Cux2","Mus_musculus","ENSMUSG00000042589","CUT,Homeodomain","D"
"T167158_2.00","Onecut1","Mus_musculus","ENSMUSG00000043013","CUT,Homeodomain","D"
"T168544_2.00","XP_006525770.1","Mus_musculus","XP_006525770.1","CxxC","D"
"T169125_2.00","Dmrt1","Mus_musculus","ENSMUSG00000024837","DM","D"
"T169126_2.00","Dmrtb1","Mus_musculus","ENSMUSG00000028610","DM","D"
"T169124_2.00","Dmrtc2","Mus_musculus","ENSMUSG00000011349","DM","D"
"T172771_2.00","E2f1","Mus_musculus","ENSMUSG00000027490","E2F","D"
"T172769_2.00","E2f2","Mus_musculus","ENSMUSG00000018983","E2F","D"
"T172768_2.00","E2f3","Mus_musculus","ENSMUSG00000016477","E2F","D"
"T172767_2.00","E2f4","Mus_musculus","ENSMUSG00000014859","E2F","D"
"T172772_2.00","E2f5","Mus_musculus","ENSMUSG00000027552","E2F","D"
"T172776_2.00","E2f6","Mus_musculus","ENSMUSG00000057469","E2F","D"
"T172770_2.00","E2f7","Mus_musculus","ENSMUSG00000020185","E2F","D"
"T174616_2.00","Ebf1","Mus_musculus","ENSMUSG00000057098","EBF1","D"
"T174614_2.00","Ebf2","Mus_musculus","ENSMUSG00000022053","EBF1","D"
"T174615_2.00","Ebf4","Mus_musculus","ENSMUSG00000053552","EBF1","D"
"T176535_2.00","Ehf","Mus_musculus","ENSMUSG00000012350","Ets","D"
"T176546_2.00","Elf1","Mus_musculus","ENSMUSG00000036461","Ets","D"
"T176547_2.00","Elf2","Mus_musculus","ENSMUSG00000037174","Ets","D"
"T176526_2.00","Elf3","Mus_musculus","ENSMUSG00000003051","Ets","D"
"T176544_2.00","Elf4","Mus_musculus","ENSMUSG00000031103","Ets","D"
"T176542_2.00","Elf5","Mus_musculus","ENSMUSG00000027186","Ets","D"
"T176534_2.00","Elk1","Mus_musculus","ENSMUSG00000009406","Ets","D"
"T176532_2.00","Elk3","Mus_musculus","ENSMUSG00000008398","Ets","D"
"T176541_2.00","Elk4","Mus_musculus","ENSMUSG00000026436","Ets","D"
"T176548_2.00","Erg","Mus_musculus","ENSMUSG00000040732","Ets","D"
"T176545_2.00","Ets1","Mus_musculus","ENSMUSG00000032035","Ets","D"
"T176539_2.00","Ets2","Mus_musculus","ENSMUSG00000022895","Ets","D"
"T176528_2.00","Etv1","Mus_musculus","ENSMUSG00000004151","Ets","D"
"T176530_2.00","Etv2","Mus_musculus","ENSMUSG00000006311","Ets","D"
"T176527_2.00","Etv3","Mus_musculus","ENSMUSG00000003382","Ets","D"
"T176538_2.00","Etv4","Mus_musculus","ENSMUSG00000017724","Ets","D"
"T176536_2.00","Etv5","Mus_musculus","ENSMUSG00000013089","Ets","D"
"T176543_2.00","Etv6","Mus_musculus","ENSMUSG00000030199","Ets","D"
"T176550_2.00","Fev","Mus_musculus","ENSMUSG00000055197","Ets","D"
"T176537_2.00","Fli1","Mus_musculus","ENSMUSG00000016087","Ets","D"
"T176533_2.00","Gabpa","Mus_musculus","ENSMUSG00000008976","Ets","D"
"T176540_2.00","Spdef","Mus_musculus","ENSMUSG00000024215","Ets","D"
"T176525_2.00","Spi1","Mus_musculus","ENSMUSG00000002111","Ets","D"
"T176531_2.00","Spib","Mus_musculus","ENSMUSG00000008193","Ets","D"
"T176529_2.00","Spic","Mus_musculus","ENSMUSG00000004359","Ets","D"
"T177617_2.00","XP_911724.4","Mus_musculus","XP_911724.4","Ets","D"
"T186352_2.00","Foxa1","Mus_musculus","ENSMUSG00000035451","Forkhead","D"
"T186353_2.00","Foxa2","Mus_musculus","ENSMUSG00000037025","Forkhead","D"
"T186358_2.00","Foxa3","Mus_musculus","ENSMUSG00000040891","Forkhead","D"
"T186376_2.00","Foxb1","Mus_musculus","ENSMUSG00000059246","Forkhead","D"
"T186368_2.00","Foxc1","Mus_musculus","ENSMUSG00000050295","Forkhead","D"
"T186364_2.00","Foxc2","Mus_musculus","ENSMUSG00000046714","Forkhead","D"
"T186382_2.00","Foxd1","Mus_musculus","ENSMUSG00000078302","Forkhead","D"
"T186377_2.00","Foxd3","Mus_musculus","ENSMUSG00000067261","Forkhead","D"
"T186343_2.00","Foxg1","Mus_musculus","ENSMUSG00000020950","Forkhead","D"
"T186365_2.00","Foxi1","Mus_musculus","ENSMUSG00000047861","Forkhead","D"
"T186350_2.00","Foxj1","Mus_musculus","ENSMUSG00000034227","Forkhead","D"
"T186342_2.00","Foxj2","Mus_musculus","ENSMUSG00000003154","Forkhead","D"
"T186347_2.00","Foxj3","Mus_musculus","ENSMUSG00000032998","Forkhead","D"
"T186374_2.00","Foxk1","Mus_musculus","ENSMUSG00000056493","Forkhead","D"
"T186384_2.00","Foxl1","Mus_musculus","ENSMUSG00000097084","Forkhead","D"
"T186369_2.00","Foxl2","Mus_musculus","ENSMUSG00000050397","Forkhead","D"
"T186340_2.00","Foxm1","Mus_musculus","ENSMUSG00000001517","Forkhead","D"
"T186341_2.00","Foxn1","Mus_musculus","ENSMUSG00000002057","Forkhead","D"
"T186359_2.00","Foxn4","Mus_musculus","ENSMUSG00000042002","Forkhead","D"
"T186362_2.00","Foxo1","Mus_musculus","ENSMUSG00000044167","Forkhead","D"
"T186367_2.00","Foxo3","Mus_musculus","ENSMUSG00000048756","Forkhead","D"
"T186361_2.00","Foxo4","Mus_musculus","ENSMUSG00000042903","Forkhead","D"
"T186371_2.00","Foxo6","Mus_musculus","ENSMUSG00000052135","Forkhead","D"
"T186346_2.00","Foxp1","Mus_musculus","ENSMUSG00000030067","Forkhead","D"
"T186345_2.00","Foxp2","Mus_musculus","ENSMUSG00000029563","Forkhead","D"
"T186355_2.00","Foxq1","Mus_musculus","ENSMUSG00000038415","Forkhead","D"
"T186383_2.00","Gm5294","Mus_musculus","ENSMUSG00000094504","Forkhead","D"
"T192876_2.00","Gata1","Mus_musculus","ENSMUSG00000031162","GATA","D"
"T192872_2.00","Gata2","Mus_musculus","ENSMUSG00000015053","GATA","D"
"T192873_2.00","Gata3","Mus_musculus","ENSMUSG00000015619","GATA","D"
"T192875_2.00","Gata4","Mus_musculus","ENSMUSG00000021944","GATA","D"
"T192874_2.00","Gata5","Mus_musculus","ENSMUSG00000015627","GATA","D"
"T192871_2.00","Gata6","Mus_musculus","ENSMUSG00000005836","GATA","D"
"T198024_2.00","Gcm1","Mus_musculus","ENSMUSG00000023333","GCM","D"
"T199109_2.00","Grhl2","Mus_musculus","ENSMUSG00000022286","Grainyhead","D"
"T199110_2.00","Tcfcp2l1","Mus_musculus","ENSMUSG00000026380","Grainyhead","D"
"T203894_2.00","A1JVI6_MOUSE","Mus_musculus","A1JVI6_MOUSE","Homeodomain","D"
"T212488_2.00","Alx1","Mus_musculus","ENSMUSG00000036602","Homeodomain","D"
"T212405_2.00","Alx3","Mus_musculus","ENSMUSG00000014603","Homeodomain","D"
"T212504_2.00","Alx4","Mus_musculus","ENSMUSG00000040310","Homeodomain","D"
